Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNS14000003,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,
Series title:,(Seas) Unemployment Rate - White,,,,,,,,,,,
Labor force status:,Unemployment rate,,,,,,,,,,,
Type of data:,Percent or rate,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,
Race:,White,,,,,,,,,,,
Years:,2009 to 2019,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2009,7.1,7.6,8.0,8.1,8.5,8.7,8.7,8.9,8.9,9.2,9.2,9.0
2010,8.8,8.9,8.9,9.0,8.7,8.6,8.5,8.6,8.6,8.6,8.9,8.5
2011,8.1,8.1,8.0,8.1,7.9,8.1,8.0,7.9,7.9,7.9,7.7,7.5
2012,7.4,7.4,7.3,7.4,7.4,7.3,7.3,7.2,7.0,6.9,6.8,6.9
2013,7.1,6.8,6.7,6.7,6.7,6.6,6.5,6.4,6.3,6.3,6.1,5.9
2014,5.7,5.8,5.8,5.3,5.4,5.3,5.3,5.3,5.1,4.9,5.0,4.7
2015,4.9,4.7,4.8,4.7,4.8,4.6,4.5,4.4,4.4,4.4,4.4,4.4
2016,4.3,4.2,4.3,4.4,4.2,4.3,4.2,4.4,4.4,4.4,4.2,4.2
2017,4.3,4.0,3.9,3.8,3.8,3.8,3.7,3.8,3.7,3.5,3.7,3.7
2018,3.5,3.7,3.6,3.5,3.5,3.5,3.3,3.4,3.3,3.3,3.4,3.4
2019,3.5,3.3,3.4,3.1,3.3,3.3,3.3,,,,,
