Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNS14000026,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,
Series title:,"(Seas) Unemployment Rate - 20 yrs. & over, Women",,,,,,,,,,,
Labor force status:,Unemployment rate,,,,,,,,,,,
Type of data:,Percent or rate,,,,,,,,,,,
Age:,20 years and over,,,,,,,,,,,
Sex:,Women,,,,,,,,,,,
Years:,2009 to 2019,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2009,6.5,6.8,7.1,7.1,7.5,7.6,7.7,7.7,7.9,8.0,7.9,8.0
2010,7.9,8.0,8.1,8.3,8.1,7.7,7.9,8.0,8.0,8.0,8.4,8.0
2011,7.9,7.9,7.8,8.0,8.0,8.0,7.9,7.9,8.2,7.8,7.8,7.8
2012,7.6,7.6,7.4,7.4,7.4,7.4,7.4,7.3,7.1,7.1,7.0,7.4
2013,7.2,7.0,6.9,6.7,6.5,6.8,6.3,6.2,6.2,6.3,6.2,6.1
2014,5.8,5.9,6.2,5.6,5.8,5.3,5.6,5.6,5.5,5.4,5.3,5.1
2015,5.0,4.9,4.9,4.9,5.1,4.7,4.9,4.6,4.6,4.6,4.6,4.5
2016,4.5,4.5,4.6,4.6,4.3,4.5,4.2,4.4,4.4,4.4,4.3,4.3
2017,4.4,4.2,3.9,4.1,4.1,4.0,4.0,4.0,3.9,3.7,3.7,3.7
2018,3.6,3.8,3.6,3.5,3.3,3.7,3.6,3.5,3.3,3.4,3.4,3.5
2019,3.6,3.4,3.3,3.1,3.2,3.3,3.4,,,,,
